url,fileTypes
https://discover.data.vic.gov.au/dataset/sewerage-network-main-pipelines,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/water-supply-main-pipelines,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/melbourne-wastewater-treatment-east-daily-grid-electricity-consumption,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/hws2018-subcatchments-with-2016-vegetation-metrics-for-riparian-and-stream-bed,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/hws2018-vegetation-extent-priority-for-streams,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/recycled-water-main-pipelines,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/retarding-basin-assets,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/sewerage-network-basins,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/water-supply-pumpset-assets,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/melbourne-water-land-availability-for-our-space-your-place,html; arcgis geoservices rest api; csv; geojson; zip; kml
https://discover.data.vic.gov.au/dataset/community-perceptions-of-water-in-melbourne-in-2019,html
https://discover.data.vic.gov.au/dataset/public-land-management-plm25-generalised,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/epa-victoria-priority-sites-register-psr-location-points,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/restricted-and-unavailable-crown-land-for-petroleum-operations,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/epa-victoria-groundwater-quality-restriction-use-zones-gqruz-location-polygons,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/epa-victoria-priority-sites-register-psr-location-polygons,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/relinquished-mineral-exploration-licence-areas,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/parks-and-conservation-reserves-parkres,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/epa-victoria-preliminary-risk-screen-assessmentsprsa-location-polygons,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/restricted-and-unavailable-crown-land-for-mining-and-or-exploration,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/all-earth-resources-spatial-data-collection-for-the-datamart,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/petroleum-wells-from-geological-survey-of-victorias-dbmap-database,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/restricted-and-unavailable-crown-land-for-geothermal-energy-operations,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/public-land-management-plm25,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/epa-victoria-preliminary-risk-screen-assessmentsprsa-location-points,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/air-quality-observations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/noise-observations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/humidity-observations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/air-temperature-observations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/on-street-parking-bay-sensors,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/microlabs-co2-sensor-data,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/water-supply-daily-volume-observed-for-storage-dams-operated-by-melbourne-water,html; arcgis geoservices rest api; csv; geojson
https://discover.data.vic.gov.au/dataset/exploration-licences-that-are-no-longer-active-that-expired-since-1965,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/current-mineral-exploration-licences,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/current-mining-licences-and-leases,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/gas-and-fuel-pipelines-warning-75-complete,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/current-retention-licences,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/petroleum-tenements-victoria,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/petroleum-acreage-releases,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/mineral-tenements,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/earth-resources-current-tenements-earth-resources-spatial-data-collection-for-the-datamart,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/expired-extractive-industry-tenements,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/ccs-tenements,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/earth-resources-expired-tenements-earth-resources-spatial-data-collection-for-the-datamart,dwg; dxf; gdb; shp; mif; tab; extended tab
https://discover.data.vic.gov.au/dataset/expired-mining-licences-and-leases,dwg; dxf; gdb; shp; mif; tab; extended tab; wms; wfs
https://discover.data.vic.gov.au/dataset/public-toilets1,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/family-maternal-child-health-centre-boundaries,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/parks-and-reserves-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/waste-collection-areas,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-picnic-setting-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/traffic-volume-survey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-wifi-and-device-charging-sites,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-barbecue-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/sport-and-recreation-playing-surfaces-miscellaneous,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/venues-for-hire-in-casey-council-and-community-facilities,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/waste-facility-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/city-of-casey-parking-restriction-zones,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-fitness-station-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/libraries-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/activity-centres-in-city-of-casey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/public-bike-rail-and-rack-locations,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/junior-goal-locations-in-city-of-casey,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/sports-and-recreation-playing-surfaces-ovals,csv; json; geojson; kml; shp; xls
https://discover.data.vic.gov.au/dataset/sport-and-recreation-facility-playing-surfaces-locations,csv; json; geojson; kml; shp; xls
